id,player1_id,player2_id,winner_player_id,played_at,created_at,comment,player1_race,player2_race,is_ranked,game_type,mission_name,result_type,player1_roster_id,player2_roster_id,league_id
885,196,193,196,2026-04-26 15:18:25.262197,2026-04-26 19:18:26.426921,"[[match_meta:{""player1_score"":17,""player2_score"":10,""player1_roster_id"":""KSS9NM"",""player2_roster_id"":""EKDGJ7""}]]",Зерг,Протосс,t,2к,Frontlines,win,KSS9NM,EKDGJ7,1
886,193,277,193,2026-04-26 16:01:47.462416,2026-04-26 20:01:48.349289,"[[match_meta:{""player1_score"":12,""player2_score"":8}]] Game was aborted due to Lunarcultist had to leave earlier, agreed to end the game at the end of round 4",Протосс,Зерг,t,2к,Hold Position,win,,,1
887,249,226,249,2026-04-27 11:42:49.358759,2026-04-27 15:42:50.979847,"[[match_meta:{""player1_score"":22,""player2_score"":17}]]",Зерг,Протосс,f,2к,Hold Position,win,,,
888,196,278,196,2026-04-27 21:29:48.540515,2026-04-28 01:29:49.790235,"[[match_meta:{""player1_score"":7,""player2_score"":1}]]",Протосс,Терран,f,2к,Supply Drop,win,,,
891,193,192,193,2026-04-28 17:39:00,2026-04-28 21:39:44.7122,"[[match_meta:{""player1_score"":24,""player2_score"":23}]] Really close game",Протосс,Зерг,t,2к,Hold Position,win,,,1
892,188,246,188,2026-04-28 19:01:00,2026-04-28 23:01:49.16085,"[[match_meta:{""player1_score"":18,""player2_score"":13}]]",Терран,Протосс,t,2к,Divide and Conquer,win,VZ8G57,,1
893,242,279,242,2026-04-29 02:41:03.206231,2026-04-29 06:41:04.198106,"[[match_meta:{""player1_score"":25,""player2_score"":19}]]",Протосс,Терран,t,2к,Hold Position,win,,,1
894,192,188,192,2026-04-29 14:17:08.915028,2026-04-29 18:17:09.758078,"[[match_meta:{""player1_score"":17,""player2_score"":15,""player2_roster_id"":""VZ8G57""}]]",Зерг,Терран,t,2к,Supply Drop,win,,VZ8G57,1
895,196,240,196,2026-04-29 14:26:02.35763,2026-04-29 18:26:03.647481,"[[match_meta:{""player1_score"":21,""player2_score"":13,""player1_roster_id"":""RW869W"",""player2_roster_id"":""82IF6G""}]]",Зерг,Протосс,t,2к,Gather the Resources,win,RW869W,82IF6G,1
896,246,196,246,2026-04-29 19:50:24.391327,2026-04-29 23:50:25.485981,"[[match_meta:{""player1_score"":19,""player2_score"":10}]]",Протосс,Зерг,t,2к,Frontlines,win,,,1
897,195,254,195,2026-04-30 09:26:48.34851,2026-04-30 13:26:49.46384,"[[match_meta:{""player1_score"":14,""player2_score"":6}]]",Терран,Протосс,t,2к,Divide and Conquer,win,,,1
898,249,195,249,2026-04-30 17:02:43.756616,2026-04-30 21:02:44.679559,"[[match_meta:{""player1_score"":19,""player2_score"":18}]]",Зерг,Терран,t,2к,Divide and Conquer,win,,,1
899,195,242,195,2026-05-01 06:45:01.662905,2026-05-01 10:45:02.601899,"[[match_meta:{""player1_score"":23,""player2_score"":12}]]",Терран,Протосс,t,2к,Hold Position,win,,,1
900,246,188,246,2026-05-01 11:25:00,2026-05-01 15:25:14.540846,"[[match_meta:{""player1_score"":22,""player2_score"":15}]]",Протосс,Терран,t,2к,Gather the Resources,win,,,1
901,192,246,192,2026-05-01 14:18:32.070142,2026-05-01 18:18:33.156159,"[[match_meta:{""player1_score"":12,""player2_score"":11}]]",Зерг,Протосс,t,2к,Hold Position,win,,,1
902,249,226,249,2026-05-01 14:53:11.730483,2026-05-01 18:53:12.839092,"[[match_meta:{""player1_score"":22,""player2_score"":20}]]",Зерг,Протосс,t,2к,Hold Position,win,,,1
903,249,246,249,2026-05-01 19:15:17.465197,2026-05-01 23:15:18.752664,"[[match_meta:{""player1_score"":19,""player2_score"":18}]]",Зерг,Протосс,t,2к,Hold Position,win,,,1
